Item ID,Item Name,Quality Type,Item Level,Item Requirement Level,Item Class ID,Item Subclass ID,Inventory Type Name,Is stackable,Is equipable
2319,Medium Leather,Common,20,0,7,7_0,Non-equippable,True,False
15846,Salt Shaker,Common,50,0,7,7_3,Non-equippable,False,False
4706,Lambent Scale Cloak,Uncommon,24,19,4,4_1,Back,False,True
8387,Pattern: Big Voodoo Mask,Uncommon,44,0,9,9_1,Non-equippable,False,False
20870,Jasper Idol,Rare,61,0,12,12_0,Non-equippable,True,False
2751,Green Hills of Stranglethorn - Page 27,Common,1,0,15,15_0,Non-equippable,True,False
10241,Heavy Lamellar Helm,Uncommon,53,48,4,4_4,Head,False,True
15992,Dense Blasting Powder,Common,50,0,7,7_1,Non-equippable,True,False
14484,Pattern: Brightcloth Cloak,Uncommon,55,0,9,9_2,Non-equippable,False,False
2734,Green Hills of Stranglethorn - Page 10,Common,1,0,15,15_0,Non-equippable,True,False
8170,Rugged Leather,Common,50,0,7,7_0,Non-equippable,True,False
7046,Azure Silk Pants,Uncommon,28,23,4,4_1,Legs,False,True
4305,Bolt of Silk Cloth,Common,35,0,7,7_0,Non-equippable,True,False
10498,Gyromatic Micro-Adjustor,Common,35,1,7,7_1,Non-equippable,False,False
20876,Idol of Death,Rare,61,0,12,12_0,Non-equippable,True,False
15993,Thorium Grenade,Common,52,0,7,7_2,Non-equippable,True,False
13926,Golden Pearl,Uncommon,40,0,7,7_0,Non-equippable,True,False
20881,Idol of Strife,Rare,61,0,12,12_0,Non-equippable,True,False
19270,Three of Elementals,Rare,1,0,15,15_0,Non-equippable,False,False
3480,Rough Bronze Shoulders,Common,22,17,4,4_3,Shoulder,False,True
19711,Green Hakkari Bijou,Rare,61,58,12,12_0,Non-equippable,True,False
12808,Essence of Undeath,Uncommon,55,0,5,5_0,Non-equippable,True,False
14781,Khan's Cloak,Uncommon,44,39,4,4_1,Back,False,True
6348,Formula: Enchant Weapon - Minor Beastslayer,Uncommon,20,0,9,9_8,Non-equippable,False,False
17725,Formula: Enchant Weapon - Winter's Might,Uncommon,38,0,9,9_8,Non-equippable,False,False
21224,Ancient Armor Fragment,Poor,60,0,15,15_0,Non-equippable,True,False
2555,Recipe: Swiftness Potion,Uncommon,15,0,9,9_6,Non-equippable,False,False
13755,Winter Squid,Common,45,35,0,0_0,Non-equippable,True,False
12204,Heavy Kodo Meat,Common,35,0,7,7_0,Non-equippable,True,False
16248,Formula: Enchant Weapon - Unholy,Uncommon,59,0,9,9_8,Non-equippable,False,False
2450,Briarthorn,Common,15,0,7,7_0,Non-equippable,True,False
4496,Small Brown Pouch,Common,5,0,1,1_0,Bag,False,True
11203,Formula: Enchant Gloves - Advanced Mining,Uncommon,43,0,9,9_8,Non-equippable,False,False
3576,Tin Bar,Common,20,0,7,7_0,Non-equippable,True,False
10008,White Bandit Mask,Uncommon,43,38,4,4_1,Head,False,True
6572,Defender Shield,Uncommon,23,18,4,4_6,Off Hand,False,True
6573,Defender Boots,Uncommon,23,18,4,4_3,Feet,False,True
14047,Runecloth,Common,50,0,7,7_0,Non-equippable,True,False
20877,Idol of the Sage,Rare,61,0,12,12_0,Non-equippable,True,False
13422,Stonescale Eel,Common,45,0,5,5_0,Non-equippable,True,False
2871,Heavy Sharpening Stone,Common,25,15,7,7_0,Non-equippable,True,False
19931,Gurubashi Mojo Madness,Rare,1,0,12,12_0,Non-equippable,True,False
14831,Symbolic Crown,Uncommon,43,40,4,4_4,Head,False,True
10067,Righteous Waistguard,Uncommon,49,44,4,4_2,Waist,False,True
7526,Gossamer Belt,Uncommon,46,41,4,4_1,Waist,False,True
16251,Formula: Enchant Bracer - Superior Stamina,Uncommon,60,0,9,9_8,Non-equippable,False,False
4603,Raw Spotted Yellowtail,Common,45,35,0,0_0,Non-equippable,True,False
1640,Monstrous War Axe,Uncommon,42,37,2,2_1,Two-Hand,False,True
19700,Hakkari Coin,Uncommon,1,0,12,12_0,Non-equippable,True,False
12804,Powerful Mojo,Common,55,0,7,7_0,Non-equippable,True,False
20882,Idol of War,Rare,61,0,12,12_0,Non-equippable,True,False
19726,Bloodvine,Uncommon,60,0,7,7_0,Non-equippable,True,False
6568,Shimmering Trousers,Uncommon,24,19,4,4_1,Legs,False,True
11973,Hematite Link,Uncommon,43,38,4,4_0,Finger,False,True
13757,Lightning Eel,Common,45,0,5,5_0,Non-equippable,True,False
10606,Schematic: Parachute Cloak,Uncommon,45,0,9,9_3,Non-equippable,False,False
4355,Pattern: Icy Cloak,Common,40,0,9,9_2,Non-equippable,False,False
6331,Howling Blade,Rare,36,31,2,2_15,One-Hand,False,True
19943,Massive Mojo,Common,60,0,7,7_0,Non-equippable,True,False
20878,Idol of Rebirth,Rare,61,0,12,12_0,Non-equippable,True,False
12164,Plans: Massive Iron Axe,Common,37,0,9,9_4,Non-equippable,False,False
14833,Tyrant's Gauntlets,Uncommon,44,40,4,4_4,Hands,False,True
7552,Falcon's Hook,Uncommon,44,39,4,4_0,Finger,False,True
12800,Azerothian Diamond,Uncommon,60,0,7,7_0,Non-equippable,True,False
11165,Formula: Enchant Weapon - Lesser Elemental Slayer,Uncommon,35,0,9,9_8,Non-equippable,False,False
9289,Field Plate Boots,Uncommon,41,40,4,4_4,Feet,False,True
9926,Brigade Boots,Uncommon,43,38,4,4_3,Feet,False,True
11733,Libram of Constitution,Uncommon,50,50,9,9_0,Non-equippable,False,False
14747,Hulking Gauntlets,Uncommon,23,18,4,4_3,Hands,False,True
20874,Idol of the Sun,Rare,61,0,12,12_0,Non-equippable,True,False
13051,Witchfury,Rare,44,39,2,2_8,Two-Hand,False,True
14496,Pattern: Felcloth Hood,Uncommon,58,0,9,9_2,Non-equippable,False,False
19703,Witherbark Coin,Uncommon,1,0,12,12_0,Non-equippable,True,False
7972,Ichor of Undeath,Common,45,0,5,5_0,Non-equippable,True,False
7075,Core of Earth,Common,45,0,5,5_0,Non-equippable,True,False
10019,Dreamweave Gloves,Rare,45,40,4,4_1,Hands,False,True
2840,Copper Bar,Common,10,0,7,7_0,Non-equippable,True,False
14634,Recipe: Frost Oil,Uncommon,40,0,9,9_6,Non-equippable,False,False
10561,Mithril Casing,Common,43,0,7,7_1,Non-equippable,True,False
19699,Razzashi Coin,Uncommon,1,0,12,12_0,Non-equippable,True,False
10623,Winter's Bite,Rare,48,43,2,2_0,Main Hand,False,True
9858,Archer's Buckler,Uncommon,36,31,4,4_6,Off Hand,False,True
15370,Wolf Rider's Boots,Uncommon,44,39,4,4_2,Feet,False,True
2011,Twisted Sabre,Rare,26,21,2,2_7,Main Hand,False,True
15591,Steadfast Breastplate,Uncommon,43,38,4,4_3,Chest,False,True
8168,Jet Black Feather,Common,45,0,5,5_0,Non-equippable,True,False
13199,Crushridge Bindings,Rare,41,36,4,4_3,Wrist,False,True
14918,Jade Belt,Uncommon,47,42,4,4_4,Waist,False,True
13754,Raw Glossy Mightfish,Common,45,35,0,0_0,Non-equippable,True,False
8151,Flask of Mojo,Common,40,0,7,7_0,Non-equippable,True,False
19698,Zulian Coin,Uncommon,1,0,12,12_0,Non-equippable,True,False
13464,Golden Sansam,Common,52,0,7,7_0,Non-equippable,True,False
3860,Mithril Bar,Common,40,0,7,7_0,Non-equippable,True,False
9916,Tracker's Belt,Uncommon,44,39,4,4_2,Waist,False,True
1455,Blackrock Champion's Axe,Uncommon,24,19,2,2_1,Two-Hand,False,True
6045,Plans: Iron Counterweight,Uncommon,33,0,9,9_4,Non-equippable,False,False
19260,Three of Warlords,Rare,1,0,15,15_0,Non-equippable,False,False
20879,Idol of Life,Rare,61,0,12,12_0,Non-equippable,True,False
2841,Bronze Bar,Common,20,0,7,7_0,Non-equippable,True,False
11225,Formula: Enchant Bracer - Greater Stamina,Uncommon,49,0,9,9_8,Non-equippable,False,False
15156,Nocturnal Cap,Uncommon,43,38,4,4_2,Head,False,True
14425,Silksand Wraps,Uncommon,44,39,4,4_1,Chest,False,True
14405,Resilient Robe,Uncommon,33,28,4,4_1,Chest,False,True
7458,Knight's Boots,Uncommon,37,32,4,4_3,Feet,False,True
12364,Huge Emerald,Uncommon,60,0,7,7_0,Non-equippable,True,False
8173,Thick Armor Kit,Common,40,30,0,0_0,Non-equippable,True,False
19441,Huge Venom Sac,Common,1,0,7,7_0,Non-equippable,True,False
5770,Robes of Arcana,Uncommon,30,25,4,4_1,Chest,False,True
18986,Ultrasafe Transporter: Gadgetzan,Uncommon,52,0,4,4_0,Trinket,False,True
15624,Gryphon Cloak,Uncommon,45,40,4,4_1,Back,False,True
21222,Armored Chitin,Poor,60,0,15,15_0,Non-equippable,True,False
1625,Exquisite Flamberge,Uncommon,41,36,2,2_8,Two-Hand,False,True
18631,Truesilver Transformer,Common,50,0,7,7_1,Non-equippable,True,False
7068,Elemental Fire,Common,25,0,5,5_0,Non-equippable,True,False
4070,Jouster's Crest,Uncommon,41,36,4,4_6,Off Hand,False,True
7357,Elder's Hat,Uncommon,34,29,4,4_1,Head,False,True
4322,Enchanter's Cowl,Uncommon,33,28,4,4_1,Head,False,True
2838,Heavy Stone,Common,25,0,7,7_0,Non-equippable,True,False
10003,Black Mageweave Gloves,Uncommon,43,38,4,4_1,Hands,False,True
13819,Balanced War Axe,Poor,59,54,2,2_1,Two-Hand,False,True
9794,Ivycloth Cloak,Uncommon,25,20,4,4_1,Back,False,True
4232,Medium Hide,Common,20,0,7,7_0,Non-equippable,True,False
3961,Thick Leather Belt,Poor,44,39,4,4_2,Waist,False,True
10188,Swashbuckler's Leggings,Uncommon,56,51,4,4_2,Legs,False,True
6359,Firefin Snapper,Common,25,0,5,5_0,Non-equippable,True,False
15222,Barbed Club,Uncommon,19,14,2,2_4,Main Hand,False,True
21304,Guide: Multi-Shot V,Rare,60,60,9,9_0,Non-equippable,False,False
13025,Deadwood Sledge,Rare,37,32,2,2_4,Main Hand,False,True
15412,Green Dragonscale,Common,50,0,15,15_0,Non-equippable,True,False
15752,Pattern: Living Leggings,Rare,57,0,9,9_1,Non-equippable,False,False
10588,Goblin Rocket Helmet,Uncommon,47,0,4,4_1,Head,False,True
13492,Recipe: Purification Potion,Uncommon,57,0,9,9_6,Non-equippable,False,False
11184,Blue Power Crystal,Common,1,0,15,15_0,Non-equippable,True,False
4061,Imperial Leather Bracers,Uncommon,42,37,4,4_2,Wrist,False,True
14470,Pattern: Runecloth Tunic,Uncommon,52,0,9,9_2,Non-equippable,False,False
9857,Archer's Bracers,Uncommon,34,29,4,4_2,Wrist,False,True
8294,Traveler's Boots,Uncommon,57,52,4,4_2,Feet,False,True
8753,Smooth Leather Helmet,Poor,57,52,4,4_2,Head,False,True
647,Destiny,Epic,57,52,2,2_8,Two-Hand,False,True
16696,Devout Belt,Rare,58,53,4,4_1,Waist,False,True
11982,Viridian Band,Uncommon,23,18,4,4_0,Finger,False,True
12989,Gargoyle's Bite,Rare,22,20,2,2_6,Two-Hand,False,True
10177,Mystical Leggings,Uncommon,56,51,4,4_1,Legs,False,True
15553,Thick Scale Shoulder Pads,Uncommon,34,29,4,4_3,Shoulder,False,True
19276,Ace of Portals,Rare,1,0,15,15_0,Non-equippable,False,False
3389,Elixir of Defense,Common,26,16,0,0_0,Non-equippable,True,False
10136,High Councillor's Bracers,Uncommon,60,55,4,4_1,Wrist,False,True
15997,Thorium Shells,Uncommon,57,52,6,6_3,Ammo,True,True
8836,Arthas' Tears,Common,44,0,7,7_0,Non-equippable,True,False
15407,Cured Rugged Hide,Common,50,0,7,7_0,Non-equippable,True,False
11134,Lesser Mystic Essence,Uncommon,30,0,7,7_0,Non-equippable,True,False
19705,Skullsplitter Coin,Uncommon,1,0,12,12_0,Non-equippable,True,False
4235,Heavy Hide,Common,30,0,7,7_0,Non-equippable,True,False
11175,Greater Nether Essence,Uncommon,45,0,7,7_0,Non-equippable,True,False
10286,Heart of the Wild,Common,45,0,5,5_0,Non-equippable,True,False
4054,Insignia Leggings,Uncommon,35,30,4,4_2,Legs,False,True
2589,Linen Cloth,Common,5,0,7,7_0,Non-equippable,True,False
9817,Fortified Spaulders,Uncommon,26,21,4,4_3,Shoulder,False,True
5471,Stag Meat,Common,23,0,7,7_0,Non-equippable,True,False
9828,Scaled Leather Boots,Uncommon,31,26,4,4_2,Feet,False,True
4404,Silver Contact,Common,18,0,7,7_1,Non-equippable,True,False
13447,Elixir of the Sages,Common,54,44,0,0_0,Non-equippable,True,False
7070,Elemental Water,Common,25,0,5,5_0,Non-equippable,True,False
955,Scroll of Intellect,Common,15,5,0,0_0,Non-equippable,True,False
15075,Chimeric Vest,Uncommon,58,53,4,4_2,Chest,False,True
10371,Imbued Plate Greaves,Uncommon,58,53,4,4_4,Feet,False,True
14913,Jade Greaves,Uncommon,49,44,4,4_4,Feet,False,True
4006,Overlinked Chain Shoulderpads,Poor,42,37,4,4_3,Shoulder,False,True
9846,Conjurer's Bracers,Uncommon,35,30,4,4_1,Wrist,False,True
19821,Punctured Voodoo Doll,Uncommon,1,0,15,15_0,Non-equippable,False,False
15380,Rageclaw Bracers,Uncommon,46,41,4,4_2,Wrist,False,True
14834,Tyrant's Armguards,Uncommon,43,40,4,4_4,Wrist,False,True
19701,Gurubashi Coin,Uncommon,1,0,12,12_0,Non-equippable,True,False
11174,Lesser Nether Essence,Uncommon,40,0,7,7_0,Non-equippable,True,False
15746,Pattern: Chimeric Leggings,Uncommon,56,0,9,9_1,Non-equippable,False,False
14549,Boots of Avoidance,Epic,45,40,4,4_4,Feet,False,True
15272,Razor Axe,Uncommon,59,54,2,2_1,Two-Hand,False,True
12052,Ring of the Moon,Uncommon,21,16,4,4_0,Finger,False,True
3949,Twill Pants,Poor,59,54,4,4_1,Legs,False,True
3356,Kingsblood,Common,24,0,7,7_0,Non-equippable,True,False
5771,Pattern: Red Linen Bag,Common,14,0,9,9_2,Non-equippable,False,False
22527,Core of Elements,Common,1,0,15,15_0,Non-equippable,True,False
13040,Heartseeking Crossbow,Rare,56,51,2,2_18,Ranged,False,True
8949,Elixir of Agility,Common,37,27,0,0_0,Non-equippable,True,False
4461,Raptor Hide,Common,30,0,7,7_0,Non-equippable,True,False
7069,Elemental Air,Common,25,0,5,5_0,Non-equippable,True,False
15072,Chimeric Leggings,Uncommon,56,51,4,4_2,Legs,False,True
3575,Iron Bar,Common,30,0,7,7_0,Non-equippable,True,False
9901,Jazeraint Belt,Uncommon,40,35,4,4_3,Waist,False,True
10161,Mercurial Gauntlets,Uncommon,61,56,4,4_3,Hands,False,True
20873,Alabaster Idol,Rare,61,0,12,12_0,Non-equippable,True,False
19687,Primal Batskin Bracers,Rare,65,60,4,4_2,Wrist,False,True
14276,Gaea's Belt,Uncommon,47,42,4,4_1,Waist,False,True
14263,Bloodwoven Mask,Uncommon,48,43,4,4_1,Head,False,True
732,Okra,Common,9,0,7,7_0,Non-equippable,True,False
3577,Gold Bar,Uncommon,30,0,7,7_0,Non-equippable,True,False
10142,High Councillor's Mantle,Uncommon,62,57,4,4_1,Shoulder,False,True
13513,Flask of Chromatic Resistance,Common,60,50,0,0_0,Non-equippable,True,False
10122,Ornate Girdle,Uncommon,55,50,4,4_3,Waist,False,True
15594,Steadfast Cloak,Uncommon,37,32,4,4_1,Back,False,True
8368,Thick Wolfhide,Common,40,0,7,7_0,Non-equippable,True,False
2313,Medium Armor Kit,Common,15,5,0,0_0,Non-equippable,True,False
16702,Dreadmist Belt,Rare,58,53,4,4_1,Waist,False,True
13486,Recipe: Transmute Undeath to Water,Uncommon,55,0,9,9_6,Non-equippable,False,False
15231,Splitting Hatchet,Uncommon,31,26,2,2_0,One-Hand,False,True
15933,Simple Branch,Uncommon,15,10,4,4_0,Held In Off-hand,False,True
15267,Brutehammer,Uncommon,63,58,2,2_5,Two-Hand,False,True
2799,Gorilla Fang,Common,1,0,12,12_0,Non-equippable,True,False
12203,Red Wolf Meat,Common,30,0,7,7_0,Non-equippable,True,False
13497,Recipe: Greater Arcane Protection Potion,Uncommon,58,0,9,9_6,Non-equippable,False,False
19686,Primal Batskin Gloves,Rare,65,60,4,4_2,Hands,False,True
14604,Warden's Wizard Hat,Uncommon,45,40,4,4_2,Head,False,True
14657,Scorpashi Gloves,Uncommon,46,41,4,4_2,Hands,False,True
1705,Lesser Moonstone,Uncommon,30,0,7,7_0,Non-equippable,True,False
7554,Willow Branch,Uncommon,19,14,4,4_0,Held In Off-hand,False,True
15323,Percussion Shotgun,Uncommon,50,45,2,2_3,Ranged,False,True
6358,Oily Blackmouth,Common,15,0,5,5_0,Non-equippable,True,False
3385,Lesser Mana Potion,Common,24,14,0,0_0,Non-equippable,True,False
8391,Snickerfang Jowl,Common,1,1,12,12_0,Non-equippable,True,False
3386,Elixir of Poison Resistance,Common,55,14,0,0_0,Non-equippable,True,False
17201,Recipe: Egg Nog,Common,10,0,9,9_5,Non-equippable,False,False
13070,Sapphiron's Scale Boots,Rare,58,53,4,4_4,Feet,False,True
2771,Tin Ore,Common,20,0,7,7_0,Non-equippable,True,False
18671,Baron Charr's Sceptre,Rare,59,54,2,2_4,Main Hand,False,True
22897,Tome of Conjure Food VII,Rare,60,60,9,9_0,Non-equippable,False,False
4602,Moon Harvest Pumpkin,Common,45,35,0,0_0,Non-equippable,True,False
4417,Schematic: Large Seaforium Charge,Uncommon,40,0,9,9_3,Non-equippable,False,False
9854,Archer's Jerkin,Uncommon,38,33,4,4_2,Chest,False,True
11732,Libram of Rumination,Uncommon,50,50,9,9_0,Non-equippable,False,False
5642,Recipe: Free Action Potion,Common,30,0,9,9_6,Non-equippable,False,False
7990,Plans: Heavy Mithril Helm,Uncommon,49,0,9,9_4,Non-equippable,False,False
2701,Recipe: Seasoned Wolf Kabob,Common,25,0,9,9_5,Non-equippable,False,False
2882,Plans: Silvered Bronze Shoulders,Uncommon,25,0,9,9_4,Non-equippable,False,False
4599,Cured Ham Steak,Common,45,35,0,0_0,Non-equippable,True,False
9030,Restorative Potion,Common,42,32,0,0_0,Non-equippable,True,False
790,Forester's Axe,Uncommon,23,18,2,2_0,Main Hand,False,True
2776,Gold Ore,Uncommon,25,0,7,7_0,Non-equippable,True,False
5633,Great Rage Potion,Common,35,25,0,0_0,Non-equippable,True,False
7058,Crimson Silk Vest,Common,37,32,4,4_1,Chest,False,True
4625,Firebloom,Common,41,0,7,7_0,Non-equippable,True,False
4500,Traveler's Backpack,Uncommon,55,0,1,1_0,Bag,False,True
866,Monk's Staff,Uncommon,42,37,2,2_10,Two-Hand,False,True
5075,Blood Shard,Common,1,0,12,12_0,Non-equippable,True,False
10129,Revenant Gauntlets,Uncommon,50,45,4,4_4,Hands,False,True
4606,Spongy Morel,Common,25,15,0,0_0,Non-equippable,True,False
9300,Recipe: Elixir of Demonslaying,Common,50,0,9,9_6,Non-equippable,False,False
13851,Hot Wolf Ribs,Common,35,25,0,0_0,Non-equippable,True,False
1529,Jade,Uncommon,35,0,7,7_0,Non-equippable,True,False
11084,Large Glimmering Shard,Rare,25,0,7,7_0,Non-equippable,True,False
9295,Recipe: Invisibility Potion,Uncommon,47,0,9,9_6,Non-equippable,False,False
11186,Red Power Crystal,Common,1,0,15,15_0,Non-equippable,True,False
12555,Battlechaser's Greaves,Rare,55,50,4,4_4,Feet,False,True
1169,Blackskull Shield,Epic,46,41,4,4_6,Off Hand,False,True
6583,Scouting Bracers,Uncommon,21,16,4,4_2,Wrist,False,True
16022,Arcanite Dragonling,Rare,60,50,7,7_3,Trinket,False,True
15423,Chimera Leather,Common,50,0,7,7_0,Non-equippable,True,False
11166,Formula: Enchant Gloves - Skinning,Uncommon,40,0,9,9_8,Non-equippable,False,False
15755,Pattern: Chimeric Vest,Uncommon,58,0,9,9_1,Non-equippable,False,False
730,Murloc Eye,Common,11,0,7,7_0,Non-equippable,True,False
2449,Earthroot,Common,5,0,7,7_0,Non-equippable,True,False
13081,Skullance Shield,Rare,38,33,4,4_6,Off Hand,False,True
14526,Pattern: Mooncloth,Common,55,0,9,9_2,Non-equippable,False,False
13055,Bonechewer,Rare,48,43,2,2_6,Two-Hand,False,True
6068,Recipe: Shadow Oil,Common,33,0,9,9_6,Non-equippable,False,False
4339,Bolt of Mageweave,Common,45,0,7,7_0,Non-equippable,True,False
1708,Sweet Nectar,Common,35,25,0,0_0,Non-equippable,True,False
4569,Staunch Hammer,Uncommon,14,9,2,2_4,Main Hand,False,True
14552,Stockade Pauldrons,Epic,55,50,4,4_4,Shoulder,False,True
15741,Pattern: Stormshroud Pants,Common,55,0,9,9_1,Non-equippable,False,False
8150,Deeprock Salt,Common,40,0,7,7_0,Non-equippable,True,False
1207,Murphstar,Uncommon,39,34,2,2_4,One-Hand,False,True
6332,Black Pearl Ring,Rare,22,17,4,4_0,Finger,False,True
7412,Infiltrator Gloves,Uncommon,32,27,4,4_2,Hands,False,True
7089,Pattern: Azure Silk Cloak,Common,35,0,9,9_2,Non-equippable,False,False
9304,Recipe: Transmute Iron to Gold,Common,45,0,9,9_6,Non-equippable,False,False
